# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
287 -0.58435 0.811502 -0.000856986 -37.7778 52.365 2.02877 0
288 -0.5844 0.811465 -0.000856982 -37.7821 52.3636 3.53567 0
289 -0.58445 0.811429 -0.000856977 -37.7862 52.3621 5.04257 0
290 -0.584501 0.811392 -0.000856973 -37.7904 52.3607 6.54947 0
291 -0.584551 0.811356 -0.000856969 -37.7947 52.3592 8.05638 0
292 -0.584602 0.81132 -0.000856965 -37.7989 52.3578 9.56328 0
293 -0.584652 0.811284 -0.000856962 -37.8032 52.3564 11.0701 0
294 -0.584703 0.811248 -0.000856958 -37.8074 52.3549 12.5771 0
295 -0.584753 0.811212 -0.000856954 -37.8116 52.3536 14.084 0
296 -0.584802 0.811175 -0.00085695 -37.8158 52.352 15.5909 0
297 -0.584852 0.811138 -0.000856946 -37.82 52.3506 17.0978 0
298 -0.584902 0.811102 -0.000856942 -37.8242 52.3491 18.6047 0
299 -0.584953 0.811067 -0.000856938 -37.8284 52.3477 20.1116 0
300 -0.585004 0.811031 -0.000856934 -37.8326 52.3462 21.6185 0
301 -0.585054 0.810994 -0.00085693 -37.8368 52.3448 23.1254 0
302 -0.585104 0.810958 -0.000856926 -37.8411 52.3434 24.6323 0
303 -0.585155 0.810922 -0.000856922 -37.8453 52.3419 26.1392 0
304 -0.585205 0.810885 -0.000856919 -37.8496 52.3405 27.6461 0
305 -0.585255 0.810849 -0.000856915 -37.8538 52.3389 29.153 0
306 -0.585305 0.810813 -0.000856911 -37.8579 52.3375 30.6599 0
307 -0.585354 0.810777 -0.000856907 -37.8622 52.336 32.1668 0
308 -0.602982 0.797755 -0.00086254 -38.9134 51.4902 -32.6334 0
309 -0.60303 0.797718 -0.000862536 -38.9175 51.4887 -31.1265 0
310 -0.60308 0.79768 -0.000862532 -38.9217 51.4871 -29.6196 0
311 -0.603129 0.797643 -0.000862527 -38.9259 51.4856 -28.1127 0
312 -0.603178 0.797605 -0.000863524 -38.9301 51.4841 -26.6058 0
313 -0.603228 0.797569 -0.000863521 -38.9342 51.4826 -25.0989 0
314 -0.603277 0.797532 -0.000863517 -38.9384 51.4811 -23.592 0
315 -0.603328 0.797494 -0.000863513 -38.9426 51.4795 -22.0851 0
316 -0.603377 0.797456 -0.000863509 -38.9467 51.478 -20.5782 0
317 -0.603426 0.797418 -0.000863505 -38.9509 51.4764 -19.0713 0
318 -0.603476 0.797381 -0.000863501 -38.955 51.475 -17.5644 0
319 -0.603524 0.797344 -0.000863498 -38.9592 51.4734 -16.0575 0
320 -0.603573 0.797307 -0.000863494 -38.9633 51.4719 -14.5506 0
321 -0.603623 0.79727 -0.00086349 -38.9675 51.4703 -13.0437 0
322 -0.603672 0.797232 -0.000863486 -38.9717 51.4688 -11.5368 0
323 -0.603722 0.797195 -0.000863482 -38.976 51.4674 -10.0299 0
324 -0.603772 0.797156 -0.000863478 -38.9801 51.4659 -8.52294 0
325 -0.603821 0.797119 -0.000863474 -38.9842 51.4644 -7.01604 0
